PLATE_ID,WellID,X_POSITION,Y_POSITION,T_INDEX,Z_INDEX,SOURCE_DESCRIPTION,PATH,ImgID
46,22931,F05,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F05_s3_w1E8278848-31D1-42C2-B48B-4361FC5249C0.tif,22931_F05_1_2
47,22931,F05,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F05_s4_w13D466C10-92BC-457E-A917-E789D8191229.tif,22931_F05_2_2
48,22931,F06,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F06_s1_w1AF60A68E-DED7-49C4-8C25-94FAE1315286.tif,22931_F06_1_1
49,22931,F06,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F06_s2_w1DAB3EEB2-81A4-4CEF-AF20-6B2B909ACED6.tif,22931_F06_2_1
50,22931,F06,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F06_s3_w1C7495737-1025-4EF8-9AE5-C75CA964025C.tif,22931_F06_1_2
51,22931,F06,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F06_s4_w174708B36-7EA2-43EF-85D5-C808BE6DEACE.tif,22931_F06_2_2
52,22931,E06,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E06_s1_w1AE87FEF0-6D40-411F-BA8E-4D8592709E92.tif,22931_E06_1_1
53,22931,E06,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E06_s2_w109DB1EE2-247C-42B1-9FE3-6444AE353426.tif,22931_E06_2_1
54,22931,E06,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E06_s3_w1DCA75C27-EB46-4CBD-BABB-36BCFC0EB1B2.tif,22931_E06_1_2
55,22931,E06,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E06_s4_w1B26284CF-5DFD-4E80-AC81-42BAD168DFAA.tif,22931_E06_2_2
56,22931,D06,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D06_s1_w13C8462C5-85AB-4F6D-AFE5-49DBFCB0A044.tif,22931_D06_1_1
57,22931,D06,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D06_s2_w1E20747C6-79F6-4A6F-BBAB-769F09A29584.tif,22931_D06_2_1
58,22931,D06,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D06_s3_w1FC1AAEA4-E32F-4911-8A50-5EFE8D6177A7.tif,22931_D06_1_2
59,22931,D06,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D06_s4_w167964AA5-4A5B-4A64-BA39-A61F43C776C7.tif,22931_D06_2_2
60,22931,C06,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C06_s1_w1B3611AAA-DA6E-4941-A366-06289D76DE84.tif,22931_C06_1_1
61,22931,C06,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C06_s2_w1F3C0C33F-76E7-4AB3-845A-4D7083CEB33C.tif,22931_C06_2_1
62,22931,C06,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C06_s3_w1FEBFDCBD-C06C-49AB-849B-527A5561008D.tif,22931_C06_1_2
63,22931,C06,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C06_s4_w14E25EDC8-DC7F-4DE6-ABF8-98329EAB79D1.tif,22931_C06_2_2
64,22931,C07,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C07_s1_w10DF98BCA-42BF-487D-BA37-E08A96D2C61F.tif,22931_C07_1_1
65,22931,C07,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C07_s2_w14DBA41F5-99BB-4877-B593-C7B6A51961F0.tif,22931_C07_2_1
66,22931,C07,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C07_s3_w1A41D9DF2-ACCA-4FA4-8645-E224E5EB97CF.tif,22931_C07_1_2
67,22931,C07,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C07_s4_w1E807EACE-7B70-48DE-9DF2-C6E8A790DB5C.tif,22931_C07_2_2
68,22931,D07,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D07_s1_w15DE8A826-21B6-4BA8-A56C-B7F2BF007DCC.tif,22931_D07_1_1
69,22931,D07,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D07_s2_w135A67B19-0A15-46F1-8A04-2F18704D04AE.tif,22931_D07_2_1
70,22931,D07,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D07_s3_w1CEB4142D-DB54-4C05-99A1-BBEEC63CD872.tif,22931_D07_1_2
71,22931,D07,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D07_s4_w1D50736AD-07C8-4DE3-B01D-28BB59412F84.tif,22931_D07_2_2
72,22931,E07,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E07_s1_w1E3C48DC4-499F-4044-A40A-6F69C0AAFCB8.tif,22931_E07_1_1
73,22931,E07,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E07_s2_w1A7924600-D025-4DF7-8D85-6FD36DA7A1F5.tif,22931_E07_2_1
74,22931,E07,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E07_s3_w1BA16F808-50FA-46B3-BD60-40DDB4CDD983.tif,22931_E07_1_2
75,22931,E07,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E07_s4_w1AC01B68F-CE2E-4FD3-8F30-4DEDDD499F5F.tif,22931_E07_2_2
76,22931,F07,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F07_s1_w142A8FFED-3D47-46D9-A9EE-8417281BF5F5.tif,22931_F07_1_1
77,22931,F07,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F07_s2_w1091DAD6F-FE62-4431-9346-9ACDAE389A80.tif,22931_F07_2_1
78,22931,F07,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F07_s3_w1FCFB3485-39FA-4347-8D53-0FDDBA6FE2E1.tif,22931_F07_1_2
79,22931,F07,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F07_s4_w135D69353-7193-4971-B86B-F90CD5AAC273.tif,22931_F07_2_2
80,22931,F08,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F08_s1_w18DF1001E-C128-455C-93B9-F7A2DD1D48CC.tif,22931_F08_1_1
81,22931,F08,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F08_s2_w1D7BE42BD-3AEE-4A1E-9319-8C24A980F0EB.tif,22931_F08_2_1
82,22931,F08,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F08_s3_w13996261A-5290-43A1-815C-B2DBCCA1FC9B.tif,22931_F08_1_2
83,22931,F08,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F08_s4_w1F49366AB-72D9-40F4-BB49-7D6B47B0A356.tif,22931_F08_2_2
84,22931,E08,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E08_s1_w14FD24AE3-13C4-4A2B-94F9-5A9BED1FB136.tif,22931_E08_1_1
